"ZGAMEPAD_MENUITEM_HEADLINE.text[0]","USTAWIENIA ZGAMEPAD"
"ZGAMEPAD_MENUITEM_ENABLED.text[0]","Włączony"
"ZGAMEPAD_MENUITEM_ENABLED_CHOICE.text[0]","nie|tak"
"ZGAMEPAD_MENUITEM_GAMEPAD_ID.text[0]","ID Kontrolera"
"ZGAMEPAD_MENUITEM_SENSITIVITY.text[0]","Czułość"
"ZGAMEPAD_MENUITEM_HINTS.text[0]","Podpowiedzi"
"ZGAMEPAD_MENUITEM_HINTS_CHOICE.text[0]","wyłączone|włączone"
"ZGAMEPAD_MENUITEM_HINTS_SCHEME.text[0]","Ikony podpowiedzi"
"ZGAMEPAD_MENUITEM_HINTS_SCALE.text[0]","Rozmiar podpowiedzi"
"ZGAMEPAD_MENUITEM_HINTS_TRANSPARENCY.text[0]","Przeźroczystość podpowiedzi"
"ZGAMEPAD_MENUITEM_OPEN_LINK.text[0]","Otwórz stronę projektu"
"ZGAMEPAD_MENUITEM_DISCONNECTED_HEADLINE.text[0]","Kontroler został odłączony!"
"ZGAMEPAD_MENUITEM_DISCONNECTED_MESSAGE_01.text[0]","Podłącz kontroler i wciśnij Kontynuuj."
"UNION_MENUITEM_DISCONNECTED_BACK.text[0]","WRÓĆ"
